index,Periode,SES-Score,Spreiding,Plaats,Buurt,Wijk,Gemeente,Region_Code,Region_Description,ID,RegioS,Perioden,GemiddeldeVerkoopprijs_1
17196,2014JJ00,"0,13","0,714",Asten,,,Asten,GM0743,Gemeente 'Asten' (GM0743),1585,GM0743,2014JJ00,247823.0
17198,2015JJ00,"0,117","0,724",Asten,,,Asten,GM0743,Gemeente 'Asten' (GM0743),1586,GM0743,2015JJ00,264697.0
17200,2016JJ00,"0,106","0,742",Asten,,,Asten,GM0743,Gemeente 'Asten' (GM0743),1587,GM0743,2016JJ00,268162.0
17202,2017JJ00,"0,094","0,756",Asten,,,Asten,GM0743,Gemeente 'Asten' (GM0743),1588,GM0743,2017JJ00,292594.0
17204,2018JJ00,"0,097","0,751",Asten,,,Asten,GM0743,Gemeente 'Asten' (GM0743),1589,GM0743,2018JJ00,290117.0
17206,2019JJ00,"0,102","0,75",Asten,,,Asten,GM0743,Gemeente 'Asten' (GM0743),1590,GM0743,2019JJ00,334156.0
17530,2014JJ00,"0,143","0,685",Baarle-Nassau,,,Baarle-Nassau,GM0744,Gemeente 'Baarle-Nassau' (GM0744),1672,GM0744,2014JJ00,251776.0
17532,2015JJ00,"0,134","0,697",Baarle-Nassau,,,Baarle-Nassau,GM0744,Gemeente 'Baarle-Nassau' (GM0744),1673,GM0744,2015JJ00,254242.0
17534,2016JJ00,"0,127","0,701",Baarle-Nassau,,,Baarle-Nassau,GM0744,Gemeente 'Baarle-Nassau' (GM0744),1674,GM0744,2016JJ00,266280.0
17536,2017JJ00,"0,119","0,717",Baarle-Nassau,,,Baarle-Nassau,GM0744,Gemeente 'Baarle-Nassau' (GM0744),1675,GM0744,2017JJ00,274709.0
17538,2018JJ00,"0,074","0,769",Baarle-Nassau,,,Baarle-Nassau,GM0744,Gemeente 'Baarle-Nassau' (GM0744),1676,GM0744,2018JJ00,299212.0
17540,2019JJ00,"0,077","0,769",Baarle-Nassau,,,Baarle-Nassau,GM0744,Gemeente 'Baarle-Nassau' (GM0744),1677,GM0744,2019JJ00,334058.0
17638,2014JJ00,"0,138","0,753",Baarn,,,Baarn,GM0308,Gemeente 'Baarn' (GM0308),1701,GM0308,2014JJ00,321127.0
17640,2015JJ00,"0,135","0,761",Baarn,,,Baarn,GM0308,Gemeente 'Baarn' (GM0308),1702,GM0308,2015JJ00,297817.0
17642,2016JJ00,"0,14","0,77",Baarn,,,Baarn,GM0308,Gemeente 'Baarn' (GM0308),1703,GM0308,2016JJ00,348588.0
17644,2017JJ00,"0,13","0,779",Baarn,,,Baarn,GM0308,Gemeente 'Baarn' (GM0308),1704,GM0308,2017JJ00,364285.0
17646,2018JJ00,"0,145","0,775",Baarn,,,Baarn,GM0308,Gemeente 'Baarn' (GM0308),1705,GM0308,2018JJ00,384315.0
17648,2019JJ00,"0,146","0,775",Baarn,,,Baarn,GM0308,Gemeente 'Baarn' (GM0308),1706,GM0308,2019JJ00,431161.0
17920,2014JJ00,"0,231","0,69",Barendrecht,,,Barendrecht,GM0489,Gemeente 'Barendrecht' (GM0489),1759,GM0489,2014JJ00,251425.0
17922,2015JJ00,"0,23","0,697",Barendrecht,,,Barendrecht,GM0489,Gemeente 'Barendrecht' (GM0489),1760,GM0489,2015JJ00,257575.0
17924,2016JJ00,"0,229","0,704",Barendrecht,,,Barendrecht,GM0489,Gemeente 'Barendrecht' (GM0489),1761,GM0489,2016JJ00,269159.0
17926,2017JJ00,"0,224","0,711",Barendrecht,,,Barendrecht,GM0489,Gemeente 'Barendrecht' (GM0489),1762,GM0489,2017JJ00,294183.0
17928,2018JJ00,"0,224","0,716",Barendrecht,,,Barendrecht,GM0489,Gemeente 'Barendrecht' (GM0489),1763,GM0489,2018JJ00,336402.0
17930,2019JJ00,"0,227","0,715",Barendrecht,,,Barendrecht,GM0489,Gemeente 'Barendrecht' (GM0489),1764,GM0489,2019JJ00,352460.0
18664,2014JJ00,"0,151","0,69",Barneveld,,,Barneveld,GM0203,Gemeente 'Barneveld' (GM0203),1788,GM0203,2014JJ00,258411.0
18666,2015JJ00,"0,144","0,704",Barneveld,,,Barneveld,GM0203,Gemeente 'Barneveld' (GM0203),1789,GM0203,2015JJ00,266307.0
18668,2016JJ00,"0,147","0,706",Barneveld,,,Barneveld,GM0203,Gemeente 'Barneveld' (GM0203),1790,GM0203,2016JJ00,282871.0
18670,2017JJ00,"0,144","0,714",Barneveld,,,Barneveld,GM0203,Gemeente 'Barneveld' (GM0203),1791,GM0203,2017JJ00,312523.0
18672,2018JJ00,"0,148","0,712",Barneveld,,,Barneveld,GM0203,Gemeente 'Barneveld' (GM0203),1792,GM0203,2018JJ00,329980.0
18674,2019JJ00,"0,155","0,708",Barneveld,,,Barneveld,GM0203,Gemeente 'Barneveld' (GM0203),1793,GM0203,2019JJ00,359070.0
19244,2014JJ00,"0,058","0,76",Beek,,,Beek,GM0888,Gemeente 'Beek' (GM0888),1875,GM0888,2014JJ00,185729.0
19246,2015JJ00,"0,056","0,767",Beek,,,Beek,GM0888,Gemeente 'Beek' (GM0888),1876,GM0888,2015JJ00,187159.0
19248,2016JJ00,"0,056","0,778",Beek,,,Beek,GM0888,Gemeente 'Beek' (GM0888),1877,GM0888,2016JJ00,207205.0
19250,2017JJ00,"0,054","0,783",Beek,,,Beek,GM0888,Gemeente 'Beek' (GM0888),1878,GM0888,2017JJ00,195019.0
19252,2018JJ00,"0,059","0,78",Beek,,,Beek,GM0888,Gemeente 'Beek' (GM0888),1879,GM0888,2018JJ00,226580.0
19254,2019JJ00,"0,061","0,78",Beek,,,Beek,GM0888,Gemeente 'Beek' (GM0888),1880,GM0888,2019JJ00,231409.0
19340,2014JJ00,"0,076","0,74",Beekdaelen,,,Beekdaelen,GM1954,Gemeente 'Beekdaelen' (GM1954),1933,GM1954,2014JJ00,
19342,2015JJ00,"0,077","0,745",Beekdaelen,,,Beekdaelen,GM1954,Gemeente 'Beekdaelen' (GM1954),1934,GM1954,2015JJ00,
19344,2016JJ00,"0,074","0,754",Beekdaelen,,,Beekdaelen,GM1954,Gemeente 'Beekdaelen' (GM1954),1935,GM1954,2016JJ00,
19346,2017JJ00,"0,071","0,76",Beekdaelen,,,Beekdaelen,GM1954,Gemeente 'Beekdaelen' (GM1954),1936,GM1954,2017JJ00,
19348,2018JJ00,"0,074","0,762",Beekdaelen,,,Beekdaelen,GM1954,Gemeente 'Beekdaelen' (GM1954),1937,GM1954,2018JJ00,
19350,2019JJ00,"0,076","0,759",Beekdaelen,,,Beekdaelen,GM1954,Gemeente 'Beekdaelen' (GM1954),1938,GM1954,2019JJ00,248905.0
19700,2014JJ00,"0,23","0,668",Beemster,,,Beemster,GM0370,Gemeente 'Beemster' (GM0370),1962,GM0370,2014JJ00,259131.0
19702,2015JJ00,"0,23","0,674",Beemster,,,Beemster,GM0370,Gemeente 'Beemster' (GM0370),1963,GM0370,2015JJ00,278733.0
19704,2016JJ00,"0,242","0,671",Beemster,,,Beemster,GM0370,Gemeente 'Beemster' (GM0370),1964,GM0370,2016JJ00,283115.0
19706,2017JJ00,"0,242","0,681",Beemster,,,Beemster,GM0370,Gemeente 'Beemster' (GM0370),1965,GM0370,2017JJ00,318243.0
19708,2018JJ00,"0,253","0,676",Beemster,,,Beemster,GM0370,Gemeente 'Beemster' (GM0370),1966,GM0370,2018JJ00,371819.0
19710,2019JJ00,"0,266","0,677",Beemster,,,Beemster,GM0370,Gemeente 'Beemster' (GM0370),1967,GM0370,2019JJ00,437693.0
19772,2014JJ00,"0,011","0,75",Beesel,,,Beesel,GM0889,Gemeente 'Beesel' (GM0889),1991,GM0889,2014JJ00,189929.0
